Date,Customer ID,Status,Operator ID
2019-01-02,8022947342,Filled in form,O3
2019-06-24,8646438687,Filled in form,O3
2019-04-04,9379000553,Filled in form,O3
2019-02-04,1464743096,Filled in form,O4
2019-04-11,8015744618,Filled in form,O1
2019-03-10,1938140948,Filled in form,O1
2019-06-18,5013136023,Filled in form,O3
2019-05-26,5960945131,Filled in form,O2
2019-05-09,1987742971,Filled in form,O4
2019-06-26,4406283582,Filled in form,O3
2019-01-09,5122620722,Filled in form,O4
2019-05-14,9581129845,Filled in form,O4
2019-03-03,6600248414,Filled in form,O2
2019-06-07,9440986537,Filled in form,O2
2019-02-13,7606704269,Filled in form,O2
2019-03-08,5651459514,Filled in form,O2
2019-01-02,9208231777,Filled in form,O1
2019-05-28,5905915997,Filled in form,O3
2019-03-15,1852855211,Filled in form,O4
2019-01-21,5702218907,Filled in form,O1
2019-04-03,8305704949,Filled in form,O1
2019-05-28,5319271658,Filled in form,O2
2019-04-16,4845506343,Filled in form,O2
2019-04-09,4339014746,Filled in form,O3
2019-01-15,3343028067,Filled in form,O4
2019-05-15,9130148041,Filled in form,O1
2019-04-15,9102003628,Filled in form,O1
2019-01-14,1176369968,Filled in form,O2
2019-05-10,2741953094,Filled in form,O4
2019-05-01,6202283376,Filled in form,O2
2019-05-29,8772972027,Filled in form,O4
2019-04-08,5819309646,Filled in form,O4
2019-01-25,3184057461,Filled in form,O3
2019-03-07,2690194857,Filled in form,O3
2019-01-03,9064372991,Filled in form,O1
2019-01-07,3194531663,Filled in form,O1
2019-04-19,5429506560,Filled in form,O3
2019-05-16,5331542721,Filled in form,O4
2019-03-11,5516317435,Filled in form,O2
2019-03-09,1307002227,Filled in form,O3
2019-01-04,8691613275,Filled in form,O3
2019-06-12,7137937492,Filled in form,O2
2019-01-27,2864236310,Filled in form,O3
2019-06-11,4459406580,Filled in form,O4
2019-03-17,7173750826,Filled in form,O4
2019-01-27,7477597921,Filled in form,O1
2019-03-04,2316452851,Filled in form,O3
2019-04-10,8925435204,Filled in form,O3
2019-04-18,9368342947,Filled in form,O4
2019-04-16,6757504279,Filled in form,O1
2019-03-24,7521503522,Filled in form,O2
2019-01-21,5879319128,Filled in form,O4
2019-03-17,4732892657,Filled in form,O4
